"member_casual","day_of_week","day_of_week_num","num_rides","avg_ride_min"
casual,Monday   ,1,244571,17.33
member,Monday   ,1,534874,11.26
casual,Tuesday  ,2,243910,15.06
member,Tuesday  ,2,618005,11.13
casual,Wednesday,3,234528,14.37
member,Wednesday,3,601826,11.06
casual,Thursday ,4,263384,15.03
member,Thursday ,4,608293,11.17
casual,Friday   ,5,329656,16.74
member,Friday   ,5,559107,11.44
casual,Saturday ,6,443764,19.32
member,Saturday ,6,482848,12.71
casual,Sunday   ,7,345766,19.82
member,Sunday   ,7,405290,12.67
